Sample_input,Actual,Proposed,Traditional
1,2477.056884765625,2294.3032739791306,2027.397441996788
1,2207.281494140625,2291.1060075315713,2013.9249234463844
1,2207.281494140625,2207.9438390776177,2090.6965182085282
1,2145.025634765625,2250.8266404327787,2110.98772762709
1,2269.537353515625,2220.839475135279,2109.10665072161
1,2248.785400390625,2213.1443623985256,1966.369661934953
1,2331.793212890625,2223.6054231458024,2042.9305621049596
1,2228.033447265625,2135.0251325450595,2013.9659264324334
1,2290.289306640625,2144.026787795732,2028.349441414052
1,2269.537353515625,2373.9837235622795,1954.3916896208134
1,2030.8898925781252,1970.401332228001,1916.3147483147188
1,2124.273681640625,1915.3268230235194,2051.7471889312055
1,2290.289306640625,2284.198289115197,1960.2899875982037
1,2103.521728515625,2383.2656103524896,1969.96809097179
1,2238.409423828125,2126.7000691470525,2209.2341414163143
1,2414.801025390625,2252.36114033359,2070.701872614738
1,2352.545166015625,2376.4190099096545,1958.4388407478339
1,2300.665283203125,2327.8917022922606,2030.6687766584664
1,2435.552978515625,2146.9061644853905,2028.6569349281306
1,2134.649658203125,2069.5747434800574,2021.548996898612
1,2394.049072265625,2286.9359512162255,2139.0195394849216
1,2259.161376953125,2114.4069340650767,2108.7350221035335
1,2342.169189453125,2399.836255583198,2005.3692061642932
1,2414.801025390625,2182.487244523743,2068.610565728452
1,2404.425048828125,2126.1722659582674,2056.298576170014
1,2321.417236328125,2384.219708797068,2098.5564411739992
1,2196.905517578125,2417.394699259303,2008.5793132299004
0,1958.2580566406252,2127.554596260991,1958.5739168307073
0,1802.6184082031252,2007.2594442913578,1840.0111898418472
0,1761.1145019531252,1888.5788629923197,1851.4486854240358
0,1366.8273925781252,1696.175445856823,1889.4687303058604
0,1491.3391113281252,1846.6074483929585,1674.1468059413305
0,1522.4670410156252,1557.6120080325863,1629.0146100497072
0,1335.6994628906252,1535.4794775056666,1444.0949547694133
0,1429.0832519531252,1428.1457055224864,1397.2074378141556
1,1501.7150878906252,1560.093833712607,1298.384484622355
1,1480.9631347656252,1436.2730051852604,1295.6969253753591
1,1563.9709472656252,1555.497323801448,1426.4046453795204
1,1844.1223144531252,1480.162577549073,1506.741770005411
1,1709.2346191406252,1762.8765491063277,1541.479198396723
1,1875.2502441406252,1534.5637605481095,1592.4714379294062
1,1802.6184082031252,1852.3577810283048,1736.343601779702
1,1719.6105957031252,1788.5456592529918,1740.972041166052
1,1844.1223144531252,2008.889191022706,1670.4463544305402
1,1864.8742675781252,2062.1570927441085,1633.3540595071831
1,1958.2580566406252,1982.722928611341,1731.6325926163527
1,2072.393798828125,1779.6547424997589,1723.8345731653042
1,1979.0100097656252,2102.4470630736855,1820.3291329698131
1,1927.1301269531252,1911.2346490428797,1824.774735149465
1,2186.529541015625,2060.2886861433462,1826.2771821050555
1,2176.153564453125,2142.3176840293854,1792.439267759772
1,2020.5139160156252,2130.030335321374,1967.384266641086
1,2228.033447265625,2210.3130989141714,1782.4194845582404
1,2311.041259765625,2236.628938705984,1907.1722069762034
1,1968.6340332031252,2201.985923976185,1959.2018470782627
1,2124.273681640625,2466.61369869637,1949.0369020943576
1,1999.7619628906252,2179.460597636912,1831.028694231668
1,2145.025634765625,2177.808463806357,2034.2414647613127
1,2041.2658691406252,2140.107105923081,2086.369250552798
1,2093.145751953125,2102.8254519593806,1922.7444805243763
1,2051.641845703125,2132.9501356664236,2112.181983103371
1,2103.521728515625,2317.715282585666,2118.3803475654063
1,2145.025634765625,2208.343686590641,2000.312287766246
1,2321.417236328125,2120.7336243402024,1906.2525756951068
1,2269.537353515625,2135.1551343341384,1976.6271281550255
1,2176.153564453125,2090.868096883667,2070.385104690297
1,2207.281494140625,2434.7715732500196,2071.2130181986404
1,2269.537353515625,2223.370647587452,1973.536997300483
1,2248.785400390625,2421.835758755555,1962.6049313752953
1,2186.529541015625,2370.234524418626,1909.104379354179
1,1864.8742675781252,2094.052019144659,2080.7221791539296
1,2041.2658691406252,2291.0321168775527,2089.1932381445645
1,2362.921142578125,2188.269921079381,1887.9170737451948
1,2155.401611328125,2124.2120848211516,1940.7254725675446
1,2041.2658691406252,2106.3994565584303,2112.4462293798842
1,1999.7619628906252,1943.1718815095496,2036.4177096303206
1,2186.529541015625,2050.9255174545274,2191.613145274406
1,2196.905517578125,2079.236497881431,2077.9580808886976
1,2196.905517578125,2107.461973697287,2236.0301595744686
1,2093.145751953125,1830.9179366988967,2013.6054662171211
1,2103.521728515625,2039.442065589952,2168.9826223805703
1,2134.649658203125,1968.2028841132058,2281.5349237780315
1,2113.897705078125,1963.697300314729,2206.632280680277
1,2010.1379394531252,2132.225372984673,2211.0596612515833
1,2072.393798828125,2018.0411955356622,2059.031506517918
1,1896.0021972656252,1877.0333990654958,2111.9381978792294
1,2196.905517578125,1986.0893601479409,2087.227148920821
1,2020.5139160156252,1942.4579073082643,2098.1294214623854
1,2062.017822265625,2042.2587895766644,2180.957008475305
1,2207.281494140625,1851.8920452183622,2086.3034165023114
1,2186.529541015625,1944.9395885324234,2065.634373107706
1,2124.273681640625,1991.0989403274039,2086.3734700631385
1,2103.521728515625,2000.4431084080275,2121.5263140600687
1,2062.017822265625,1968.3819738181944,2099.5834920122675
1,2134.649658203125,2009.392305366691,2097.307779968671
1,2259.161376953125,2022.4741226389976,2101.1949818050384
1,2279.913330078125,2103.1460622853583,2056.532160001966
1,2290.289306640625,1855.710371328325,2137.0532131375244
1,2113.897705078125,2164.3476677743747,2045.276330931378
1,2279.913330078125,2178.292058983371,2101.7216918702825
1,2331.793212890625,2274.34324151165,2027.705911715458
1,2238.409423828125,2289.1894938066393,2033.2511361521638
1,2196.905517578125,2191.3274791716753,2029.284463391562
1,2300.665283203125,2096.8163419763264,2065.425683477329
